Integer|*Numero;String|Pais;Integer|NumeroDelPais;
0                  |SouthAfrica        |93                 
1                  |Samoa              |27                 
2                  |Hungary            |220                
3                  |Iran               |218                
4                  |FrenchTerretory    |9                  
5                  |Puerto Rico        |10                 
6                  |Armenia            |231                
7                  |Liberia            |188                
8                  |Armenia            |58                 
9                  |Singapore          |177                
10                 |Monaco             |18                 
11                 |BruneiDarussalam   |127                
12                 |Yemen              |166                
13                 |Ghana              |19                 
14                 |Aruba              |178                
15                 |Greenland          |84                 
16                 |Cuba               |191                
17                 |Afghanistan        |182                
18                 |ChristmasIsland    |206                
19                 |Jordan             |100                
20                 |BurkinaFaso        |167                
21                 |Tonga              |145                
22                 |NewCaledonia       |231                
23                 |NewCaledonia       |75                 
24                 |Bahamas            |54                 
25                 |Korea              |84                 
26                 |SaintKittsandNevis |63                 
27                 |Venezuela          |24                 
28                 |Nepal              |8                  
29                 |SouthAfrica        |6                  
30                 |Tuvalu             |111                
31                 |Lebanon            |170                
32                 |Georgia            |118                
33                 |Fiji               |148                
34                 |Egypt              |198                
35                 |WallisandFutuna    |32                 
36                 |Jordan             |216                
37                 |Maldives           |228                
38                 |Slovenia           |7                  
39                 |Holy See           |133                
40                 |Cocos(Keeling)     |78                 
41                 |Vietnam            |194                
42                 |Indonesia          |85                 
43                 |UnitedStatesMinor  |71                 
44                 |Cocos(Keeling)     |191                
45                 |China              |211                
46                 |Honduras           |234                
47                 |Yemen              |203                
48                 |Gambia             |144                
49                 |UnitedArabEmirates |156                
50                 |Tonga              |67                 
51                 |UnitedStates       |215                
52                 |Slovenia           |146                
53                 |France             |217                
54                 |Cyprus             |94                 
55                 |TrinidadTobago     |118                
56                 |Micronesia         |214                
57                 |SaudiArabia        |65                 
58                 |Georgia            |182                
59                 |Qatar              |211                
60                 |SouthGeorgia       |227                
61                 |Moldova            |63                 
62                 |Nauru              |116                
63                 |Kazakhstan         |103                
64                 |BruneiDarussalam   |114                
65                 |Gambia             |110                
66                 |Martinique         |51                 
67                 |Pitcairn           |213                
68                 |Coted'Ivoire       |230                
69                 |Botswana           |172                
70                 |Fiji               |201                
71                 |Malta              |108                
72                 |Guatemala          |24                 
73                 |Italy              |168                
74                 |UnitedStatesMinor  |148                
75                 |BosniaHerzegowina  |113                
76                 |Hungary            |94                 
77                 |Algeria            |192                
78                 |CentralAfrican     |161                
79                 |Cocos(Keeling)     |59                 
80                 |Italy              |197                
81                 |PierreandMiquelon  |174                
82                 |Vietnam            |172                
83                 |Singapore          |15                 
84                 |WallisandFutuna    |101                
85                 |Botswana           |13                 
86                 |Austria            |127                
87                 |Belarus            |180                
88                 |Bahrain            |114                
89                 |Guam               |166                
90                 |Monaco             |194                
91                 |Oman               |78                 
92                 |UnitedArabEmirates |131                
93                 |WesternSahara      |190                
94                 |MarshallIslands    |99                 
95                 |ChristmasIsland    |137                
96                 |CaymanIslands      |160                
97                 |Mongolia           |39                 
98                 |Fiji               |151                
99                 |Colombia           |21                 
100                |Guam               |115                
101                |Gabon              |168                
102                |Pakistan           |210                
103                |HeardMcDonald      |0                  
104                |Lebanon            |70                 
105                |Egypt              |150                
106                |Ireland            |156                
107                |Malawi             |152                
108                |BritishIndianOcean |86                 
109                |FrenchPolynesia    |80                 
110                |Egypt              |66                 
111                |Zambia             |86                 
112                |Pitcairn           |26                 
113                |BurkinaFaso        |185                
114                |Israel             |48                 
115                |Paraguay           |84                 
116                |Eritrea            |5                  
117                |SaudiArabia        |150                
118                |Barbados           |172                
119                |Botswana           |209                
120                |Hungary            |46                 
121                |Uruguay            |138                
122                |Angola             |128                
123                |Korea              |77                 
124                |BouvetIsland       |42                 
125                |Pitcairn           |13                 
126                |FranceMetropolitan |6                  
127                |Bulgaria           |8                  
128                |Bahrain            |194                
129                |Gabon              |119                
130                |Tajikistan         |122                
131                |Bolivia            |192                
132                |Bhutan             |219                
133                |Maldives           |86                 
134                |Macau              |104                
135                |Bhutan             |211                
136                |Palau              |84                 
137                |Sweden             |94                 
138                |Netherlands        |81                 
139                |CzechRepublic      |190                
140                |Belarus            |114                
141                |Macedonia          |11                 
142                |Luxembourg         |224                
143                |SolomonIslands     |127                
144                |Egypt              |169                
145                |Austria            |106                
146                |Greece             |109                
147                |NorfolkIsland      |74                 
148                |Ghana              |70                 
149                |Guadeloupe         |33                 
150                |Niue               |181                
151                |Tanzania           |157                
152                |Algeria            |17                 
153                |BouvetIsland       |191                
154                |EquatorialGuinea   |83                 
155                |Fiji               |74                 
156                |Croatia            |89                 
157                |BosniaHerzegowina  |160                
